CustomerID,Recency,Frequency,Monetary,TotalQuantity
12346,326,1,77183.6,74215
12347,2,7,4310.0,2458
12348,75,4,1797.24,2341
12349,19,1,1757.55,631
12350,310,1,334.4,197
12352,36,8,2506.04,536
12353,204,1,89.0,20
12354,232,1,1079.4,530
12355,214,1,459.4,240
12356,23,3,2811.43,1591
12357,33,1,6207.67,2708
12358,2,2,1168.06,248
12359,58,4,6310.03,1609
12360,52,3,2662.06,1165
12361,287,1,189.9,91
12362,3,10,5226.23,2229
12363,110,2,552.0,408
12364,8,4,1313.1,1506
12365,291,2,641.38,174
12367,4,1,168.9,173
12370,51,4,3541.94,2352
12371,45,2,1887.96,591
12372,72,3,1298.04,794
12373,311,1,364.6,197
12374,25,1,742.9300000000001,342
12375,11,2,457.5,178
12377,315,2,1628.12,944
12378,130,1,4008.62,2529
12379,82,2,852.24,407
12380,22,4,2724.81,1127
12381,5,5,1845.31,808
12383,185,5,1850.56,1532
12384,29,2,585.27,126
12386,338,2,401.9,354
12388,16,6,2780.66,1462
12390,80,1,549.84,353
12391,22,1,439.66,293
12393,72,4,1582.6000000000001,816
12394,64,2,1272.48,819
12395,19,12,3018.63,2118
12397,36,2,2409.9,1263
12398,46,1,1635.6599999999999,1394
12399,119,4,1108.65,1178
12401,303,1,84.3,11
12402,323,1,225.6,94
12403,50,1,427.7,96
12405,149,1,1710.39,857
12406,22,2,3415.3,1818
12407,50,5,1708.1200000000001,1416
12408,33,5,2888.55,1409
12409,79,3,11072.67,5551
12410,309,2,693.3299999999999,211
12412,75,3,1226.88,829
12413,67,3,758.1,286
12414,217,3,562.41,300
12415,24,21,124914.53,77374
12417,3,9,3649.1,1552
12418,113,1,668.58,407
12420,64,1,600.39,345
12421,16,4,807.04,484
12422,96,3,803.5600000000001,370
12423,1,8,1859.31,1339
12424,163,2,1760.96,740
12425,78,1,777.2,496
12426,195,1,582.73,258
12427,22,3,825.8,533
12428,26,9,7956.46,3536
12429,9,4,3750.4,1557
12430,43,1,256.4,117
12431,36,15,6419.95,2896
12432,43,5,5059.32,1801
12433,1,7,13375.87,11071
12434,85,2,806.14,394
12435,80,2,7829.89,2055
12436,100,1,509.01,211
12437,2,18,4951.41,2922
12438,14,2,2906.85,1180
12441,367,1,173.55,121
12442,3,1,172.06,182
12444,21,5,5005.46,1153
12445,22,1,133.4,62
12446,58,1,1002.3100000000001,351
12447,243,1,476.49,190
12448,44,1,449.45,243
12449,22,4,4067.29,1553
12450,156,2,197.88,128
12451,11,5,9035.52,6575
12452,17,2,430.57,185
12453,134,1,707.09,473
12454,56,1,3528.34,1006
12455,73,6,2466.86,2089
12456,44,3,3181.04,1633
12457,66,7,2363.23,843
12458,71,2,947.4,506
12461,94,2,826.88,287
12462,19,2,1189.59,536
12463,53,4,1344.78,776
12464,10,8,1212.05,112
12465,17,2,742.1899999999999,479
12468,188,2,729.5400000000001,366
12471,2,30,19788.65,8200
12472,32,7,6572.11,4148
12473,29,5,3928.0499999999997,2414
12474,17,18,7324.09,4833
12475,54,1,723.38,535
12476,16,11,6816.42,2408
12477,23,6,13219.74,3653
12478,4,1,680.99,236
12479,11,1,527.2,385
12480,28,4,3281.63,1707
12481,23,10,5579.82,3294
12483,17,8,2484.98,1110
12484,33,6,4527.32,2187
12488,10,3,1298.66,529
12489,336,1,334.93,105
12490,5,10,5417.93,3064
12491,39,1,460.40000000000003,260
12492,63,2,263.21000000000004,192
12493,166,2,433.74,207
12494,16,7,1246.1000000000001,707
12497,82,1,1043.1,1236
12498,21,3,403.70000000000005,159
12500,23,11,4257.82,2678
12501,337,1,2169.39,1783
12502,96,5,3723.87,820
12504,18,2,482.04999999999995,90
12506,233,1,73.5,23
12507,134,3,1304.81,894
12508,26,2,397.88,271
12509,284,1,176.5,55
12510,143,2,982.5699999999999,353
12512,66,2,132.18,96
12513,113,1,612.29,462
12514,267,1,1017.68,440
12515,353,1,383.7,131
12516,78,2,1312.06,875
12517,28,5,2481.6,1361
12518,1,5,2056.89,1318
12519,64,1,330.84,175
12520,79,5,2634.26,1439
12521,143,1,599.68,309
12522,39,2,192.72,194
12523,19,11,1789.77,865
12524,9,8,4485.72,3699
12526,1,3,1316.66,632
12527,82,3,348.71000000000004,234
12528,9,6,1933.48,756
12530,60,4,1662.28,913
12531,15,1,125.22,45
12532,30,1,349.83000000000004,153
12534,131,1,1089.18,651
12535,92,2,716.35,219
12536,43,3,12601.830000000002,2803
12538,29,1,363.95,191
12539,22,4,5568.35,2067
12540,20,17,13400.24,6685
12541,30,3,981.18,680
12544,36,1,372.7,136
12545,75,2,1000.39,523
12546,47,2,1161.5,633
12547,198,2,207.79999999999998,134
12548,166,1,95.19999999999999,49
12550,79,1,964.83,569
12551,358,1,168.0,100
12552,39,2,437.82,88
12553,8,10,3692.28,1965
12556,50,2,599.56,355
12557,16,5,11990.960000000001,4384
12558,8,1,269.96,196
12559,311,2,561.71,283
12560,5,3,2134.01,1110
12561,303,1,238.85,177
12562,8,7,3781.7400000000002,1779
12564,261,1,456.9,133
12565,289,1,145.92,80
12566,86,1,351.65,265
12567,23,10,9401.28,4305
12569,2,32,4124.69,1801
12571,40,2,519.61,523
12572,9,2,1020.42,452
12573,227,1,160.54000000000002,84
12574,316,1,218.45,61
12576,36,5,1315.83,967
12577,35,3,626.6,469
12578,21,2,2794.51,1196
12579,78,1,440.42,285
12580,247,1,415.7,238
12581,40,1,197.71,161
12582,239,2,511.36,300
12583,3,15,7281.38,5060
12584,4,9,2338.15,416
12585,234,2,2040.1,1279
12586,17,1,196.94000000000003,79
12587,8,1,144.0,51
12588,39,1,214.89999999999998,53
12589,29,2,646.68,306
12590,211,2,9864.26,4283
12591,317,1,452.84999999999997,228
12592,92,2,437.6,290
12593,109,3,418.09999999999997,206
12594,38,10,3338.2200000000003,1777
12596,51,2,618.27,474
12597,19,4,3811.22,2236
12598,10,8,3023.08,1964
12599,29,7,1032.58,956
12600,29,10,2599.04,774
12601,190,5,577.0600000000001,245
12602,59,1,153.12,162
12603,22,1,739.1999999999999,63
12604,79,2,254.18,201
12607,60,1,1579.51,1228
12609,78,3,1126.85,648
